"","id","CS","SB","ELO","Season","FIX ME","Name"
"346","aased001",4,13,1008.03169328206,1980,NA,"Don Aase"
"347","abbog001",8,10,1069.60350919628,1980,NA,"Glenn Abbott"
"348","alexd001",6,30,956.261341892867,1980,NA,"Doyle Alexander"
"349","allab101",0,1,991.977043548151,1980,NA,"Brian Allard"
"350","allen001",9,6,1123.78164673251,1980,NA,"Neil Allen"
"351","anduj001",6,18,995.273535668695,1980,NA,"Joaquin Andujar"
"352","aponl001",0,1,989.322402288145,1980,NA,"Luis Aponte"
"353","armsm001",1,2,1018.96414060926,1980,NA,"Mike Armstrong"
"354","arrof001",5,7,1031.54718813574,1980,NA,"Fernando Arroyo"
"355","auguj001",2,2,1047.62759270098,1980,NA,"Jerry Augustine"
"356","babcb101",0,2,989.214889985538,1980,NA,"Bob Babcock"
"357","bacsm101",0,1,970.156307525557,1980,NA,"Mike Bacsik"
"358","bahns101",2,3,1071.67528690531,1980,NA,"Stan Bahnsen"
"359","baird001",3,11,978.02765808955,1980,NA,"Doug Bair"
"360","bannf001",2,18,914.427820119836,1980,NA,"Floyd Bannister"
"361","barkl001",9,53,892.575511698416,1980,NA,"Len Barker"
"362","barlm101",2,8,946.421418011631,1980,NA,"Mike Barlow"
"363","barrf101",1,2,1002.13499608929,1980,NA,"Francisco Barrios"
"364","barrj101",1,7,956.857389609217,1980,NA,"Jim Barr"
"365","baumr101",6,6,1044.05831973369,1980,NA,"Ross Baumgarten"
"366","beard001",0,2,975.86679023077,1980,NA,"Dave Beard"
"367","beatj001",10,24,1021.32422098801,1980,NA,"Jim Beattie"
"368","beckj001",3,4,1018.87606208011,1980,NA,"Joe Beckwith"
"369","bereb001",3,12,993.394423288059,1980,NA,"Bruce Berenyi"
"370","berej001",0,1,998.593867143741,1980,NA,"Juan Berenguer"
"371","bibbj001",9,30,931.775534121151,1980,NA,"Jim Bibby"
"372","billj101",1,4,1017.49392865257,1980,NA,"Jack Billingham"
"373","birdd101",3,3,1014.97730760918,1980,NA,"Doug Bird"
"374","bluev001",13,13,1141.71733151142,1980,NA,"Vida Blue"
"375","blylb001",8,16,1003.95582711445,1980,NA,"Bert Blyleven"
"376","boggt001",9,25,1016.15497117867,1980,NA,"Tommy Boggs"
"377","boitd101",0,1,988.64474357277,1980,NA,"Dan Boitano"
"378","bombm101",10,6,1123.28786176236,1980,NA,"Mark Bomback"
"379","bonhb101",1,3,1011.75167800372,1980,NA,"Bill Bonham"
"380","borbp101",2,2,1042.35939243412,1980,NA,"Pedro Borbon"
"381","bordb101",0,2,987.868337154259,1980,NA,"Bill Bordley"
"382","bottr101",1,4,999.665283128043,1980,NA,"Ralph Botting"
"383","bradl101",4,2,1058.23268087813,1980,NA,"Larry Bradford"
"384","breif001",0,2,990.464150557927,1980,NA,"Fred Breining"
"385","brusw001",2,4,1020.57416107603,1980,NA,"Warren Brusstar"
"386","burgt001",1,1,1032.99505391585,1980,NA,"Tom Burgmeier"
"387","burnb001",10,18,1016.67033266988,1980,NA,"Britt Burns"
"388","burrr001",8,16,1016.81413837367,1980,NA,"Ray Burris"
"389","busbs101",3,0,1033.59110102791,1980,NA,"Steve Busby"
